Origin,Destination,Carrier,Month,Delay Percentage,Total Flights,Delay Flights,Total Delay Time(min),Carrier Delay,Weather Delay,NAS Delay,Security Delay,Aircraft Delay
SAN,LAS,WN,12,51%,1672,848,20224,4769,807,2603,43,12002
SAN,MCO,WN,12,44%,43,19,291,79,8,64,0,140
SAN,MDW,WN,12,36%,490,176,2876,770,90,801,0,1215
SAN,PDX,WN,12,56%,121,68,1683,515,0,215,0,953
SAN,PHX,WN,12,51%,1574,810,21438,5790,151,1549,8,13940
SAN,SEA,WN,12,53%,167,89,3396,1150,14,365,0,1867
SAN,SFO,WN,12,51%,1184,599,28692,4264,684,10984,0,12760
SEA,BWI,WN,12,52%,31,16,142,30,0,81,0,31
SEA,DEN,WN,12,48%,576,277,5745,1690,330,1058,0,2667
SEA,LAS,WN,12,50%,576,287,8010,2801,276,756,24,4153
SEA,MDW,WN,12,46%,333,153,2645,841,223,661,45,875
SEA,PHX,WN,12,43%,496,212,4499,2024,80,366,14,2015
SEA,SAN,WN,12,54%,167,91,2495,944,4,258,0,1289
SEA,SLC,WN,12,48%,222,107,3127,582,218,205,0,2122
SFO,ATL,WN,12,42%,129,54,1584,230,101,275,0,978
SFO,DEN,WN,12,51%,571,292,11164,2003,408,955,0,7798
SFO,LAS,WN,12,48%,956,457,20074,3327,434,1365,0,14948
SFO,LAX,WN,12,49%,1451,714,32345,3889,266,3326,12,24852
SFO,MDW,WN,12,42%,384,162,4963,961,206,491,18,3287
SFO,PHX,WN,12,47%,668,315,14262,1995,68,595,0,11604
SFO,SAN,WN,12,43%,1192,516,22390,3317,118,876,0,18079
SLC,BWI,WN,12,44%,155,68,1887,412,0,280,0,1195
SLC,DEN,WN,12,50%,854,424,11076,2481,1081,1915,104,5495
SLC,LAS,WN,12,46%,841,390,11931,1636,640,2364,200,7091
SLC,LAX,WN,12,49%,425,208,5564,1096,137,993,0,3338
SLC,MDW,WN,12,42%,309,129,3434,676,300,925,0,1533
SLC,PDX,WN,12,56%,190,106,2461,337,53,260,0,1811
SLC,PHX,WN,12,50%,859,432,11204,2882,44,1478,95,6705
SLC,SEA,WN,12,50%,218,108,2907,400,54,284,18,2151
TPA,ATL,WN,12,41%,275,114,2407,408,0,460,0,1539
TPA,BWI,WN,12,38%,883,338,8700,2377,296,971,0,5056
TPA,DCA,WN,12,28%,120,34,821,321,30,140,0,330
TPA,DEN,WN,12,39%,309,119,2231,615,35,665,0,916
TPA,FLL,WN,12,39%,746,289,8556,2880,54,1113,16,4493
TPA,LAS,WN,12,35%,165,57,1122,130,0,233,6,753
TPA,MDW,WN,12,33%,632,211,4195,646,192,504,7,2846
TPA,PHL,WN,12,53%,323,172,6586,1450,849,1363,0,2924
TPA,PHX,WN,12,46%,155,71,1187,507,30,140,3,507
ATL,BOS,WN,11,39%,119,46,1124,429,71,123,0,501
ATL,BWI,WN,11,40%,452,182,3647,1046,88,548,0,1965
ATL,DCA,WN,11,34%,344,117,1908,706,58,293,0,851
ATL,DEN,WN,11,24%,318,75,2473,1071,146,267,0,989
ATL,DTW,WN,11,28%,118,33,639,130,0,130,0,379
ATL,FLL,WN,11,32%,174,56,1097,520,0,109,0,468
ATL,LAS,WN,11,37%,270,101,2335,653,200,423,0,1059
ATL,LAX,WN,11,39%,269,105,1903,721,0,416,0,766
ATL,LGA,WN,11,39%,343,134,3995,911,459,1742,0,883
ATL,MCO,WN,11,38%,327,123,3046,1319,0,275,0,1452
ATL,MDW,WN,11,31%,504,155,3591,792,720,728,30,1321
ATL,MSP,WN,11,19%,116,22,301,119,0,113,0,69
ATL,PHL,WN,11,37%,116,43,646,110,128,122,0,286
ATL,PHX,WN,11,35%,236,83,1125,545,0,65,0,515
ATL,SAN,WN,11,47%,118,55,801,335,0,175,0,291
ATL,SFO,WN,11,34%,123,42,1347,181,321,547,0,298
ATL,TPA,WN,11,29%,225,66,1183,635,0,59,0,489
BOS,ATL,WN,11,30%,119,36,1038,234,0,170,0,634
BOS,BWI,WN,11,37%,1051,389,8212,2300,91,885,13,4923
BOS,DEN,WN,11,27%,290,77,1375,355,0,306,0,714
BOS,MDW,WN,11,29%,628,181,4422,836,251,882,0,2453
BOS,PHL,WN,11,27%,206,55,2406,568,343,644,0,851
BOS,PHX,WN,11,50%,30,15,217,10,0,117,90,0
BWI,ATL,WN,11,41%,449,184,3319,1441,28,726,0,1124
BWI,BOS,WN,11,45%,1048,471,9212,3429,437,1173,0,4173
BWI,CLT,WN,11,51%,175,90,1694,417,0,304,0,973
BWI,DEN,WN,11,33%,474,158,3186,1385,177,486,0,1138
BWI,DTW,WN,11,45%,446,201,4512,1799,43,385,0,2285
BWI,EWR,WN,11,44%,173,76,2772,673,91,1220,0,788
BWI,FLL,WN,11,36%,924,335,8612,3337,25,1428,33,3789
BWI,LAS,WN,11,28%,469,131,2138,951,0,556,0,631
BWI,LAX,WN,11,26%,185,49,1472,408,19,180,227,638
BWI,LGA,WN,11,38%,179,68,2829,371,695,1028,0,735
BWI,MCO,WN,11,34%,1068,365,8462,3911,23,1486,67,2975
BWI,MDW,WN,11,32%,858,277,5562,2364,486,739,0,1973
BWI,PHX,WN,11,34%,328,111,1800,817,0,326,22,635
BWI,SAN,WN,11,22%,290,65,1067,285,0,180,14,588
BWI,SEA,WN,11,27%,30,8,109,21,0,9,79,0
